Timestamp,Aadhaar_ID,Update_Type,Previous_Pincode,Current_Pincode
2023-06-12 00:00:00,UID282643161274,Biometric Update,266430,266430
2023-10-05 00:00:00,UID667735409637,DoB Update,288959,288959
2023-06-26 00:00:00,UID614426467490,Email Update,278352,278352
2023-11-25 00:00:00,UID658999075881,Address Change,218547,223253
2023-04-10 00:00:00,UID494996335817,Address Change,284035,202766
2023-07-31 00:00:00,UID584911861867,Biometric Update,230307,230307
2023-09-10 00:00:00,UID726640594579,Email Update,253448,253448
2023-01-11 00:00:00,UID535386190049,Biometric Update,218547,218547
2023-03-30 00:00:00,UID447328507700,Address Change,272183,273581
2023-04-02 00:00:00,UID937757763735,Mobile Update,206705,206705
2023-01-11 00:00:00,UID976558560233,Address Change,206705,208618
2023-02-07 00:00:00,UID811223932719,Mobile Update,202766,202766
2023-11-21 00:00:00,UID105968447714,Mobile Update,220871,220871
2023-04-12 00:00:00,UID946292557003,Address Change,288966,223943
2023-02-05 00:00:00,UID878667528106,Biometric Update,271212,271212
2023-04-23 00:00:00,UID817533325179,DoB Update,266430,266430
2023-06-17 00:00:00,UID575644329221,Biometric Update,260546,260546
2023-08-11 00:00:00,UID464562807045,Address Change,289823,233092
2023-09-21 00:00:00,UID500343968114,Address Change,284858,202712
2023-12-19 00:00:00,UID793151823171,Email Update,267864,267864
2023-04-14 00:00:00,UID766423920945,Address Change,222849,281226
2023-05-06 00:00:00,UID191578681014,Email Update,246573,246573
2023-12-13 00:00:00,UID105492605536,Email Update,206577,206577
2023-10-25 00:00:00,UID545938559669,Address Change,203361,223275
2023-07-29 00:00:00,UID796462833065,Email Update,206705,206705
2023-11-03 00:00:00,UID470297254583,DoB Update,238226,238226
2023-11-01 00:00:00,UID129691905771,Address Change,230694,261944
2023-01-29 00:00:00,UID203030487324,Email Update,218547,218547
2023-10-23 00:00:00,UID199734103403,Email Update,281602,281602
2023-05-16 00:00:00,UID353353928100,DoB Update,216598,216598
2023-01-22 00:00:00,UID650758451739,Address Change,239108,270129
2023-11-17 00:00:00,UID111157443823,Email Update,239129,239129
2023-05-20 00:00:00,UID959073099217,Mobile Update,227417,227417
2023-11-08 00:00:00,UID985707906126,Biometric Update,230307,230307
2023-07-27 00:00:00,UID332253512812,Biometric Update,262018,262018
2023-03-03 00:00:00,UID354576812120,Mobile Update,228510,228510
2023-06-27 00:00:00,UID860205222962,Biometric Update,238333,238333
2023-07-26 00:00:00,UID144178399879,Biometric Update,202766,202766
2023-10-22 00:00:00,UID697217060037,Mobile Update,225993,225993
2023-07-01 00:00:00,UID301231415299,Address Change,216598,283140
2023-03-24 00:00:00,UID227579317968,Address Change,252015,216598
2023-03-07 00:00:00,UID107837911388,Biometric Update,280172,280172
2023-02-23 00:00:00,UID750911603291,Address Change,218186,265231
2023-05-27 00:00:00,UID646703667253,Mobile Update,284858,284858
2023-05-06 00:00:00,UID470401836232,Mobile Update,229070,229070
2023-06-01 00:00:00,UID186894612399,Biometric Update,257435,257435
2023-09-17 00:00:00,UID567106549840,Mobile Update,288959,288959
2023-11-02 00:00:00,UID241947620361,Biometric Update,235276,235276
2023-04-21 00:00:00,UID292722844248,Biometric Update,218547,218547
2023-06-11 00:00:00,UID663787814112,Email Update,252700,252700
2023-07-27 00:00:00,UID569050459870,Address Change,287226,251111
2023-10-31 00:00:00,UID177756236715,Email Update,260546,260546
2023-03-09 00:00:00,UID741941621732,Address Change,204360,252700
2023-10-04 00:00:00,UID755564171705,Address Change,239129,215351
2023-01-02 00:00:00,UID599192274398,Biometric Update,203361,203361
2023-03-25 00:00:00,UID304666852883,Email Update,271232,271232
2023-07-31 00:00:00,UID241845965417,DoB Update,276198,276198
2023-01-27 00:00:00,UID248931129627,Email Update,276198,276198
2023-03-20 00:00:00,UID150747192000,Mobile Update,276198,276198
2023-02-27 00:00:00,UID293325276226,Address Change,284858,287226
2023-02-10 00:00:00,UID373777390756,Email Update,238269,238269
2023-06-06 00:00:00,UID554930701626,Address Change,233200,281113
2023-12-29 00:00:00,UID482825617775,Address Change,288966,279279
2023-06-06 00:00:00,UID345887525572,Biometric Update,242645,242645
2023-11-25 00:00:00,UID560397680827,Mobile Update,243170,243170
2023-09-10 00:00:00,UID680871138208,DoB Update,229070,229070
2023-10-14 00:00:00,UID755604212536,Email Update,241824,241824
2023-05-29 00:00:00,UID230538081473,Biometric Update,288966,288966
2023-12-23 00:00:00,UID734842429844,DoB Update,251832,251832
2023-09-13 00:00:00,UID650659837084,Address Change,223275,241824
2023-12-30 00:00:00,UID416794990358,Email Update,288959,288959
2023-11-04 00:00:00,UID404788565508,Mobile Update,273581,273581
2023-08-23 00:00:00,UID140524921114,DoB Update,225983,225983
2023-12-21 00:00:00,UID472919435338,Address Change,200458,273305
2023-06-24 00:00:00,UID785247764324,Address Change,273658,273305
2023-10-21 00:00:00,UID853855339654,DoB Update,243170,243170
2023-01-04 00:00:00,UID529930149903,Address Change,220207,227417
2023-08-18 00:00:00,UID145852219348,Address Change,285725,201157
2023-09-06 00:00:00,UID160762217918,Address Change,273305,271232
2023-12-02 00:00:00,UID563884845025,Biometric Update,283140,283140
2023-12-02 00:00:00,UID814188116146,Biometric Update,285725,285725
2023-03-20 00:00:00,UID154985035664,DoB Update,200014,200014
2023-07-08 00:00:00,UID554512915433,Biometric Update,238226,238226
2023-12-09 00:00:00,UID875335912379,Biometric Update,246995,246995
2023-10-23 00:00:00,UID292000728834,Mobile Update,283140,283140
2023-03-05 00:00:00,UID534429803284,Email Update,261944,261944
2023-11-01 00:00:00,UID851063907358,DoB Update,222849,222849
2023-08-24 00:00:00,UID785150415124,Email Update,237456,237456
2023-09-06 00:00:00,UID408398337846,DoB Update,237012,237012
2023-05-20 00:00:00,UID989113658425,Address Change,247839,223275
2023-05-25 00:00:00,UID674658602843,Email Update,213338,213338
2023-11-25 00:00:00,UID701188662736,Biometric Update,281113,281113
2023-06-30 00:00:00,UID449987584386,DoB Update,215351,215351
2023-06-26 00:00:00,UID393116421976,Mobile Update,215351,215351
2023-08-08 00:00:00,UID169371549557,DoB Update,256516,256516
2023-10-08 00:00:00,UID372143587858,Biometric Update,238269,238269
2023-09-02 00:00:00,UID930293824480,Address Change,223275,230947
2023-06-01 00:00:00,UID401969284196,Email Update,225983,225983
2023-09-19 00:00:00,UID122892351619,Address Change,271212,287226
2023-11-10 00:00:00,UID526227667449,Biometric Update,247839,247839
2023-09-26 00:00:00,UID482574723051,Email Update,281602,281602
2023-03-28 00:00:00,UID586922670022,DoB Update,279073,279073
2023-05-22 00:00:00,UID506136865003,Biometric Update,218186,218186
2023-07-02 00:00:00,UID908946593955,Biometric Update,267482,267482
2023-04-21 00:00:00,UID634671484372,Email Update,283039,283039
2023-11-29 00:00:00,UID427426906052,Address Change,276198,206705
2023-04-04 00:00:00,UID611053516988,DoB Update,283140,283140
2023-10-23 00:00:00,UID323547857873,Email Update,285964,285964
2023-03-28 00:00:00,UID389004462555,Address Change,206577,231359
2023-05-18 00:00:00,UID491842893151,Mobile Update,206577,206577
2023-10-20 00:00:00,UID788961427761,Biometric Update,280172,280172
2023-02-01 00:00:00,UID380051227959,DoB Update,269101,269101
2023-02-25 00:00:00,UID793816855809,Mobile Update,208618,208618
2023-02-06 00:00:00,UID118393045488,Address Change,210468,240620
2023-06-15 00:00:00,UID800064075131,Address Change,233092,202712
2023-12-15 00:00:00,UID821014075660,DoB Update,216598,216598
2023-08-17 00:00:00,UID427294038737,Address Change,266430,273658
2023-01-11 00:00:00,UID316068960819,Address Change,264822,255756
2023-10-18 00:00:00,UID837093403329,Biometric Update,229070,229070
2023-12-31 00:00:00,UID112099319497,Address Change,214432,222849
2023-08-03 00:00:00,UID749867935111,Biometric Update,272183,272183
2023-09-02 00:00:00,UID579335068379,Email Update,221562,221562
2023-05-25 00:00:00,UID947227972408,Address Change,223253,280309
2023-10-18 00:00:00,UID875961519125,Email Update,235276,235276
2023-08-22 00:00:00,UID335776468086,Mobile Update,281602,281602
2023-02-21 00:00:00,UID510220252349,DoB Update,281226,281226
2023-01-29 00:00:00,UID621362484337,Address Change,268270,227417
2023-01-27 00:00:00,UID676687701709,Mobile Update,220207,220207
2023-04-07 00:00:00,UID612393913534,DoB Update,286023,286023
2023-07-08 00:00:00,UID273294625789,Email Update,267482,267482
2023-01-06 00:00:00,UID258128636010,Address Change,278352,256145
2023-10-27 00:00:00,UID991504892839,Biometric Update,242845,242845
2023-11-25 00:00:00,UID985148767505,Mobile Update,213523,213523
2023-01-11 00:00:00,UID154167754564,Email Update,223253,223253
2023-03-02 00:00:00,UID987553043562,Biometric Update,287226,287226
2023-08-24 00:00:00,UID562518811546,Email Update,271212,271212
2023-09-20 00:00:00,UID231038641199,DoB Update,214432,214432
2023-11-02 00:00:00,UID368944049918,Email Update,243170,243170
2023-07-29 00:00:00,UID531477908058,Address Change,281602,267482
2023-06-11 00:00:00,UID531417301288,DoB Update,223943,223943
2023-08-06 00:00:00,UID585176034753,DoB Update,225983,225983
2023-02-20 00:00:00,UID446235609806,Mobile Update,272183,272183
2023-10-25 00:00:00,UID436955356414,Email Update,238226,238226
2023-12-25 00:00:00,UID325810216632,Email Update,271212,271212
2023-05-04 00:00:00,UID611202036192,Address Change,279073,285725
2023-04-05 00:00:00,UID772945958461,Address Change,219386,283140
2023-07-24 00:00:00,UID881983360225,Email Update,287226,287226
2023-02-11 00:00:00,UID216471563355,Biometric Update,230307,230307
2023-12-27 00:00:00,UID335430683639,Email Update,247839,247839
2023-07-07 00:00:00,UID686459366775,Email Update,230307,230307
2023-12-21 00:00:00,UID993328851621,DoB Update,279279,279279
2023-04-18 00:00:00,UID560358161135,DoB Update,278449,278449
2023-07-25 00:00:00,UID973960729008,DoB Update,273305,273305
2023-06-24 00:00:00,UID112267585770,Address Change,248849,230694
2023-01-27 00:00:00,UID720596168718,DoB Update,215351,215351
2023-06-09 00:00:00,UID642711458542,Email Update,204360,204360
2023-03-22 00:00:00,UID412182501979,Mobile Update,248849,248849
2023-03-11 00:00:00,UID698680004258,Email Update,280309,280309
2023-10-30 00:00:00,UID862813120888,Mobile Update,206707,206707
2023-10-11 00:00:00,UID984566583886,Mobile Update,214432,214432
2023-08-20 00:00:00,UID145643507870,Email Update,251111,251111
2023-04-05 00:00:00,UID317397741489,Mobile Update,200458,200458
2023-09-11 00:00:00,UID848815361046,Address Change,264929,220871
2023-02-28 00:00:00,UID884670619566,Mobile Update,265571,265571
2023-03-04 00:00:00,UID607682937642,Email Update,228510,228510
2023-04-03 00:00:00,UID253342588866,Email Update,236865,236865
2023-12-10 00:00:00,UID387187668549,Address Change,256883,247438
2023-11-11 00:00:00,UID570534922263,Biometric Update,260546,260546
2023-08-16 00:00:00,UID660002415758,Mobile Update,214432,214432
2023-11-22 00:00:00,UID264800575438,Mobile Update,281717,281717
2023-12-06 00:00:00,UID452629499026,Address Change,279073,237456
2023-09-03 00:00:00,UID346528524112,Mobile Update,256145,256145
2023-05-27 00:00:00,UID658328661581,Address Change,271232,269101
2023-07-30 00:00:00,UID407240531532,Biometric Update,264929,264929
2023-04-02 00:00:00,UID217837976894,Address Change,212140,208618
2023-12-16 00:00:00,UID637659732488,DoB Update,219404,219404
2023-08-31 00:00:00,UID790288101986,Email Update,227417,227417
2023-01-29 00:00:00,UID396470186844,Address Change,219386,230947
2023-05-02 00:00:00,UID226361990299,Email Update,268879,268879
2023-06-23 00:00:00,UID866848072584,Address Change,281717,271232
2023-02-09 00:00:00,UID663428947148,DoB Update,240620,240620
2023-09-03 00:00:00,UID950996357628,Email Update,235276,235276
2023-10-05 00:00:00,UID410097814139,Email Update,240620,240620
2023-11-28 00:00:00,UID154727532151,Address Change,215351,253448
2023-03-18 00:00:00,UID215248288703,Address Change,213338,227417
2023-04-19 00:00:00,UID614154479195,DoB Update,242845,242845
2023-08-05 00:00:00,UID590025854836,Biometric Update,243170,243170
2023-08-02 00:00:00,UID972986655270,Address Change,251111,269828
2023-09-01 00:00:00,UID657072876379,DoB Update,246573,246573
2023-03-21 00:00:00,UID270465571759,Biometric Update,228510,228510
2023-08-10 00:00:00,UID726968095071,Biometric Update,207782,207782
2023-07-01 00:00:00,UID752468400850,Email Update,219404,219404
2023-12-30 00:00:00,UID767574229629,Address Change,289823,280172
2023-11-17 00:00:00,UID996030175238,DoB Update,240992,240992
2023-11-25 00:00:00,UID462133151280,Biometric Update,280309,280309
2023-10-08 00:00:00,UID709927805512,Biometric Update,261944,261944
2023-04-27 00:00:00,UID355928376232,Address Change,280309,264929
2023-09-01 00:00:00,UID906222757264,Mobile Update,223943,223943
2023-02-17 00:00:00,UID573609413146,Address Change,237456,240620
2023-06-14 00:00:00,UID397595045088,DoB Update,257461,257461
2023-03-15 00:00:00,UID303504635978,Biometric Update,278859,278859
2023-04-25 00:00:00,UID991878597608,Biometric Update,285725,285725
2023-03-09 00:00:00,UID286039278761,Mobile Update,284858,284858
2023-06-26 00:00:00,UID780488167966,Email Update,269828,269828
2023-02-14 00:00:00,UID572215196971,DoB Update,288966,288966
2023-05-12 00:00:00,UID356509742081,Biometric Update,279073,279073
2023-08-02 00:00:00,UID726678659504,DoB Update,251111,251111
2023-12-13 00:00:00,UID367608624664,Mobile Update,200014,200014
2023-10-06 00:00:00,UID845200500341,Biometric Update,269828,269828
2023-12-03 00:00:00,UID429956919219,Biometric Update,242645,242645
2023-06-01 00:00:00,UID130686239911,DoB Update,238269,238269
2023-07-21 00:00:00,UID468800904886,Email Update,279073,279073
2023-11-19 00:00:00,UID455619862766,Mobile Update,252015,252015
2023-07-20 00:00:00,UID620955611886,Email Update,271232,271232
2023-11-21 00:00:00,UID822117846014,DoB Update,260546,260546
2023-02-13 00:00:00,UID227054816747,Email Update,265231,265231
2023-04-06 00:00:00,UID908687576144,Address Change,246995,202712
2023-06-23 00:00:00,UID897854719302,Address Change,278352,288966
2023-07-11 00:00:00,UID507828259105,Address Change,216598,233092
2023-02-19 00:00:00,UID548543975890,Address Change,240620,285964
2023-06-07 00:00:00,UID618455924511,Email Update,278859,278859
2023-09-12 00:00:00,UID114029403422,Address Change,288966,247438
2023-07-03 00:00:00,UID837560098180,Mobile Update,213523,213523
2023-07-25 00:00:00,UID584929922504,Email Update,281717,281717
2023-06-13 00:00:00,UID695450705712,Address Change,239108,213338
2023-04-16 00:00:00,UID657694652552,Email Update,267864,267864
2023-05-23 00:00:00,UID325960303039,Address Change,279073,210468
2023-04-10 00:00:00,UID488891105107,Biometric Update,200014,200014
2023-01-15 00:00:00,UID447229351163,Mobile Update,288959,288959
2023-07-27 00:00:00,UID925346802019,Email Update,242645,242645
2023-08-30 00:00:00,UID681147315358,Mobile Update,253448,253448
2023-02-09 00:00:00,UID633919843296,Address Change,233200,229070
2023-11-19 00:00:00,UID758279739556,Email Update,216598,216598
2023-06-02 00:00:00,UID718768919901,Mobile Update,252700,252700
2023-12-22 00:00:00,UID160997736937,Email Update,212140,212140
2023-03-12 00:00:00,UID444977655812,Address Change,267508,281226
2023-01-02 00:00:00,UID301716756961,Address Change,201157,280309
2023-03-18 00:00:00,UID606718911507,Mobile Update,210468,210468
2023-04-01 00:00:00,UID207097286150,Biometric Update,210538,210538
2023-01-19 00:00:00,UID271673681172,Biometric Update,206705,206705
2023-04-18 00:00:00,UID744046949822,Mobile Update,213031,213031
2023-07-04 00:00:00,UID809946967987,Biometric Update,233092,233092
2023-12-23 00:00:00,UID167236106380,Address Change,221562,251111
2023-09-15 00:00:00,UID842116433994,Biometric Update,227417,227417
2023-12-26 00:00:00,UID158924616477,DoB Update,230307,230307
2023-07-22 00:00:00,UID814523930870,Biometric Update,269828,269828
2023-12-03 00:00:00,UID908495127660,Email Update,231359,231359
2023-09-22 00:00:00,UID957224127120,Address Change,269101,281226
2023-12-18 00:00:00,UID186371771398,Biometric Update,270129,270129
2023-01-08 00:00:00,UID957154647544,Mobile Update,238269,238269
2023-11-04 00:00:00,UID465156028396,Email Update,253448,253448
2023-10-15 00:00:00,UID174841187101,DoB Update,267508,267508
2023-04-23 00:00:00,UID934768584502,Mobile Update,273581,273581
2023-07-17 00:00:00,UID981836470721,Email Update,257847,257847
2023-12-22 00:00:00,UID951257331462,Address Change,281226,266430
2023-08-05 00:00:00,UID289449211171,Mobile Update,273305,273305
2023-02-27 00:00:00,UID903820378040,Biometric Update,213338,213338
2023-01-22 00:00:00,UID683643042942,DoB Update,257461,257461
2023-01-02 00:00:00,UID574522684297,Address Change,246995,219404
2023-10-15 00:00:00,UID170864429781,Email Update,237012,237012
2023-03-05 00:00:00,UID918187774399,DoB Update,230947,230947
2023-08-14 00:00:00,UID692736133219,Address Change,220871,277044
2023-06-11 00:00:00,UID302936849832,Email Update,278352,278352
2023-11-08 00:00:00,UID607782711800,Biometric Update,281717,281717
2023-08-07 00:00:00,UID921535256051,DoB Update,238333,238333
2023-05-25 00:00:00,UID899539421840,DoB Update,242645,242645
2023-07-30 00:00:00,UID840518386255,Email Update,269101,269101
2023-05-01 00:00:00,UID363325738907,Mobile Update,223253,223253
2023-05-25 00:00:00,UID702878417122,Email Update,229378,229378
2023-06-09 00:00:00,UID791974332759,Address Change,238333,250526
2023-10-01 00:00:00,UID256447979336,Biometric Update,273305,273305
2023-02-18 00:00:00,UID366085414963,Mobile Update,231233,231233
2023-07-02 00:00:00,UID119044180786,DoB Update,250526,250526
2023-09-16 00:00:00,UID508745999046,Address Change,285725,278859
2023-07-24 00:00:00,UID255397986005,Address Change,207987,220207
2023-03-15 00:00:00,UID454175209749,Email Update,203361,203361
2023-06-15 00:00:00,UID509590646070,Email Update,256516,256516
2023-09-23 00:00:00,UID253305772948,Email Update,231233,231233
2023-02-16 00:00:00,UID512643095014,Address Change,277044,236767
2023-04-24 00:00:00,UID960915772023,Biometric Update,231359,231359
2023-11-12 00:00:00,UID880510123506,Address Change,229378,204360
2023-01-26 00:00:00,UID844672128577,Address Change,216598,215351
2023-12-08 00:00:00,UID833572933265,DoB Update,257435,257435
2023-01-17 00:00:00,UID757135902718,Email Update,272183,272183
2023-01-16 00:00:00,UID270278571512,Biometric Update,235276,235276
2023-01-03 00:00:00,UID516746934457,Email Update,229378,229378
2023-04-06 00:00:00,UID862393101360,Mobile Update,273658,273658
2023-09-23 00:00:00,UID726439162745,Address Change,237012,247839
2023-01-21 00:00:00,UID916516994022,Address Change,269828,200345
2023-03-05 00:00:00,UID196083156607,Biometric Update,265571,265571
2023-07-08 00:00:00,UID945609843751,Email Update,235276,235276
2023-07-04 00:00:00,UID284478440903,DoB Update,201157,201157
2023-03-25 00:00:00,UID891635620735,DoB Update,279279,279279
2023-07-01 00:00:00,UID350111747904,DoB Update,230947,230947
2023-01-30 00:00:00,UID119963821273,Email Update,200458,200458
2023-06-13 00:00:00,UID607050293044,Address Change,257435,252015
2023-01-27 00:00:00,UID640674016813,DoB Update,237456,237456
2023-12-06 00:00:00,UID959345437734,Email Update,264929,264929
2023-03-05 00:00:00,UID465242383141,Biometric Update,252015,252015
2023-12-07 00:00:00,UID274452118963,DoB Update,255833,255833
2023-11-02 00:00:00,UID565475168194,Biometric Update,229070,229070
2023-02-15 00:00:00,UID493828549091,DoB Update,284652,284652
2023-02-04 00:00:00,UID761110861023,Biometric Update,282606,282606
2023-11-25 00:00:00,UID471407902334,Mobile Update,237012,237012
2023-10-11 00:00:00,UID175487160715,DoB Update,286023,286023
2023-09-15 00:00:00,UID910630642055,Mobile Update,264481,264481
2023-03-16 00:00:00,UID679123789235,DoB Update,231233,231233
2023-09-21 00:00:00,UID861993059765,Biometric Update,250526,250526
2023-08-27 00:00:00,UID823172741437,DoB Update,240992,240992
2023-09-29 00:00:00,UID385082716028,Biometric Update,216598,216598
2023-06-05 00:00:00,UID336816947390,Mobile Update,241824,241824
2023-09-04 00:00:00,UID560343228045,DoB Update,207782,207782
2023-02-17 00:00:00,UID295165350818,Email Update,218186,218186
2023-09-13 00:00:00,UID163639395213,Address Change,236081,240000
2023-11-08 00:00:00,UID756439786943,Biometric Update,220207,220207
2023-08-05 00:00:00,UID878286698384,Biometric Update,230307,230307
2023-04-26 00:00:00,UID767212757543,Biometric Update,271212,271212
2023-12-22 00:00:00,UID904876987528,Biometric Update,227417,227417
2023-11-07 00:00:00,UID877611614073,Address Change,269101,273581
2023-10-02 00:00:00,UID667306809194,Mobile Update,228510,228510
2023-12-30 00:00:00,UID704056577673,Address Change,252700,206705
2023-02-11 00:00:00,UID972140048970,Email Update,239129,239129
2023-08-04 00:00:00,UID746216803158,DoB Update,230307,230307
2023-09-25 00:00:00,UID245465865385,Email Update,210468,210468
2023-10-06 00:00:00,UID222857935486,DoB Update,253448,253448
2023-08-26 00:00:00,UID784251034411,Biometric Update,288966,288966
2023-08-04 00:00:00,UID683331641613,Mobile Update,251111,251111
2023-05-06 00:00:00,UID329157142171,DoB Update,284035,284035
2023-08-23 00:00:00,UID639059416092,Mobile Update,233200,233200
2023-11-12 00:00:00,UID461385665746,Email Update,260546,260546
2023-09-22 00:00:00,UID373025029108,Email Update,250526,250526
2023-10-28 00:00:00,UID467014276801,Mobile Update,252700,252700
2023-11-26 00:00:00,UID767821002827,Email Update,286023,286023
2023-06-05 00:00:00,UID732978096610,Mobile Update,238333,238333
2023-03-25 00:00:00,UID749550767687,Mobile Update,283140,283140
2023-02-25 00:00:00,UID961446973168,Email Update,220871,220871
2023-07-30 00:00:00,UID952332364359,Address Change,220871,233200
2023-07-01 00:00:00,UID160265675782,Mobile Update,243170,243170
2023-06-08 00:00:00,UID547829993270,Biometric Update,210947,210947
2023-11-09 00:00:00,UID446799639746,DoB Update,237280,237280
2023-11-11 00:00:00,UID966807800009,Address Change,206705,220207
2023-11-23 00:00:00,UID777455474094,Mobile Update,273581,273581
2023-08-11 00:00:00,UID456674829677,Address Change,233200,257435
2023-04-12 00:00:00,UID600658751169,Email Update,206577,206577
2023-10-04 00:00:00,UID391046812158,Address Change,202766,262018
2023-09-26 00:00:00,UID297660190866,Email Update,250526,250526
2023-05-18 00:00:00,UID720734238706,DoB Update,238269,238269
2023-06-18 00:00:00,UID703436833938,Mobile Update,250526,250526
2023-09-26 00:00:00,UID384841478799,Address Change,220871,238226
2023-03-26 00:00:00,UID733211499577,Email Update,255756,255756
2023-05-27 00:00:00,UID574869937974,Mobile Update,271232,271232
2023-02-26 00:00:00,UID908061936669,Mobile Update,256883,256883
2023-03-20 00:00:00,UID348548148278,DoB Update,251111,251111
2023-06-22 00:00:00,UID533700991990,Address Change,262018,256516
2023-07-29 00:00:00,UID792338765844,Address Change,278352,257461
2023-08-28 00:00:00,UID367766207370,Mobile Update,251832,251832
2023-07-15 00:00:00,UID854862404474,Biometric Update,253448,253448
2023-11-10 00:00:00,UID519778650695,DoB Update,251111,251111
2023-09-17 00:00:00,UID584019680894,Email Update,233200,233200
2023-08-31 00:00:00,UID257547826870,DoB Update,269828,269828
2023-04-26 00:00:00,UID577319224339,Email Update,265571,265571
2023-02-12 00:00:00,UID177509719518,Mobile Update,256516,256516
2023-10-29 00:00:00,UID982861830987,DoB Update,255756,255756
2023-04-03 00:00:00,UID897323320705,Biometric Update,257847,257847
2023-06-26 00:00:00,UID785024985376,Biometric Update,242845,242845
2023-04-17 00:00:00,UID196148389255,Biometric Update,240992,240992
2023-10-15 00:00:00,UID161837491334,Address Change,267626,278449
2023-01-21 00:00:00,UID637873976404,Biometric Update,210468,210468
2023-05-13 00:00:00,UID486593580598,DoB Update,272183,272183
2023-07-09 00:00:00,UID604912661278,Mobile Update,222849,222849
2023-11-18 00:00:00,UID161271879185,Biometric Update,281113,281113
2023-10-12 00:00:00,UID305744272423,Biometric Update,251832,251832
2023-10-23 00:00:00,UID232326576226,Email Update,276198,276198
2023-02-24 00:00:00,UID846918184097,Mobile Update,276198,276198
2023-08-23 00:00:00,UID441273253838,DoB Update,216598,216598
2023-01-15 00:00:00,UID291120789379,DoB Update,223253,223253
2023-11-24 00:00:00,UID346491832091,Address Change,231233,284858
2023-08-25 00:00:00,UID743376492451,Email Update,206577,206577
2023-07-11 00:00:00,UID110802799651,DoB Update,233092,233092
2023-02-14 00:00:00,UID809652189562,DoB Update,281717,281717
2023-08-29 00:00:00,UID756093766470,Email Update,257435,257435
2023-11-17 00:00:00,UID155447975844,DoB Update,218547,218547
2023-08-19 00:00:00,UID403333965933,Email Update,206577,206577
2023-10-04 00:00:00,UID254264283499,Email Update,284035,284035
2023-12-15 00:00:00,UID598412858392,DoB Update,284035,284035
2023-06-17 00:00:00,UID106303622987,Email Update,274542,274542
2023-06-17 00:00:00,UID209385579132,Email Update,213338,213338
2023-12-07 00:00:00,UID576312553501,Mobile Update,265571,265571
2023-01-31 00:00:00,UID602035550394,Biometric Update,206705,206705
2023-06-18 00:00:00,UID158099314190,Email Update,272183,272183
2023-08-13 00:00:00,UID635352218691,Biometric Update,281113,281113
2023-12-13 00:00:00,UID516976693092,Address Change,246995,210468
2023-06-29 00:00:00,UID276282930028,Email Update,206705,206705
2023-02-23 00:00:00,UID117143510281,Mobile Update,200014,200014
2023-11-04 00:00:00,UID202229627754,Email Update,276198,276198
2023-07-09 00:00:00,UID659277593788,DoB Update,271232,271232
2023-01-05 00:00:00,UID706307698876,Address Change,246995,200345
2023-07-02 00:00:00,UID126898537134,Mobile Update,273305,273305
2023-08-21 00:00:00,UID479982928687,Email Update,281113,281113
